asset,test,restricted_parameters,statistic,p_value,df,nobs,holm_p_value,family,significant_holm_5pct,shift_months,boundary_rule,verdict,scope,evidence_class,hypothesis,replication_status
portfolio_excess_return__inventory_growth__decile_05,joint_rate_beta_regime_interactions,5.0,87.53050328245789,2.2174239717498734e-17,5.0,648.0,2.7939542044048403e-15,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__inventory_growth__decile_06,joint_regime_factor_interactions,10.0,42.517763859943884,6.063754741692715e-06,10.0,648.0,0.0004062715676934119,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__inventory_growth__decile_06,joint_rate_beta_regime_interactions,5.0,27.318575529270856,4.944490103256416e-05,5.0,648.0,0.0028183593588561573,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__inventory_growth__decile_07,joint_regime_factor_interactions,10.0,60.785437359606675,2.573156187079191e-09,10.0,648.0,2.4444983777252315e-07,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__inventory_growth__decile_07,joint_rate_beta_regime_interactions,5.0,17.72325034546128,0.0033140152124638837,5.0,648.0,0.11927485446831759,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__inventory_growth__decile_08,joint_regime_factor_interactions,10.0,89.93083329556345,5.5277621272561865e-15,10.0,648.0,6.578036931434862e-13,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__inventory_growth__decile_08,joint_rate_beta_regime_interactions,5.0,54.495457350337425,1.657687535266972e-10,5.0,648.0,1.7571487873829905e-08,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__inventory_growth__decile_09,joint_regime_factor_interactions,10.0,79.41413618042527,6.539279552742536e-13,10.0,648.0,7.45477869012649e-11,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__inventory_growth__decile_09,joint_rate_beta_regime_interactions,5.0,14.897398878219361,0.01080985162432249,5.0,648.0,0.3242955487296747,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__inventory_growth__decile_10,joint_regime_factor_interactions,10.0,28.676315834423242,0.0014055379599280072,10.0,648.0,0.0590325943169763,regime_stability,False,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__inventory_growth__decile_10,joint_rate_beta_regime_interactions,5.0,20.553093425121936,0.0009836175525063016,5.0,648.0,0.04426278986278357,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__investment_to_assets__decile_01,joint_regime_factor_interactions,10.0,63.64956100649991,7.341457024898196e-10,10.0,648.0,7.341457024898196e-08,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
portfolio_excess_return__investment_to_assets__decile_01,joint_rate_beta_regime_interactions,5.0,20.84049757872497,0.000868231742436947,5.0,648.0,0.04080689189453651,regime_stability,True,-3,registered_boundaries_shifted_-3_months,unstable,asset,confirmatory,H3,documented_reconstruction
